Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
2173.5,3.017361111111111,31060.156235983937,7.1912691812302425,19.888519134358795,20.886688609503974
2173.5,3.017361111111111,31060.156235983937,7.1912691812302425,19.888519134358795,20.886688609503974
2173.5,3.01875,-6446.924842,-1.492638078757352,20.373755628442677,20.1665730393743
2772.4983408027574,3.01875,-6446.924842,-1.492638078757352,20.373755628442677,20.1665730393743
2772.4983408027574,3.01875,-6446.924842,-1.492638078757352,20.373755628442677,20.1665730393743
2772.4983408027574,3.85069214000383,31060.156235983937,7.1912691812302425,20.49264014168165,21.49080961682683
2773.5016591972426,3.85069214000383,31060.156235983937,7.1912691812302425,20.49264014168165,21.49080961682683
2773.5016591972426,3.85069214000383,31060.156235983937,7.1912691812302425,20.49264014168165,21.49080961682683
2773.5016591972426,3.852085637773948,183182.3154,42.41167781880887,18.573005957866545,24.459872534759803
2880.0,3.852085637773948,183182.3154,42.41167781880887,18.573005957866545,24.459872534759803
2880.0,3.852085637773948,183182.3154,42.41167781880887,18.573005957866545,24.459872534759803
2880.0,4.0,31060.156235983937,7.1912691812302425,20.550897446675364,21.549066921820543
3252.5,4.0,31060.156235983937,7.1912691812302425,20.550897446675364,21.549066921820543
3252.5,4.0,31060.156235983937,7.1912691812302425,20.550897446675364,21.549066921820543
3252.5,4.500672043010753,25469.201094581636,5.896811320280159,20.380122882943958,21.19861777059983
3253.5,4.500672043010753,25469.201094581636,5.896811320280159,20.380122882943958,21.19861777059983
3253.5,4.500672043010753,25469.201094581636,5.896811320280159,20.380122882943958,21.19861777059983
3253.5,4.502016129032258,-24348.10196,-5.637246442551675,21.01137490968007,20.22890839632628
3372.429771440888,4.502016129032258,-24348.10196,-5.637246442551675,21.01137490968007,20.22890839632628
3372.429771440888,4.502016129032258,-24348.10196,-5.637246442551675,21.01137490968007,20.22890839632628
3372.429771440888,4.661867972366785,25469.201094581636,5.896811320280159,20.40303656944476,21.22153145710063
3373.570228559112,4.661867972366785,25469.201094581636,5.896811320280159,20.40303656944476,21.22153145710063
3373.570228559112,4.661867972366785,25469.201094581636,5.896811320280159,20.40303656944476,21.22153145710063
3373.570228559112,4.663400844837516,164697.2068,38.131873468279885,18.890629828291956,24.183446877260195
3624.0,4.663400844837516,164697.2068,38.131873468279885,18.890629828291956,24.183446877260195
3624.0,4.663400844837516,164697.2068,38.131873468279885,18.890629828291956,24.183446877260195
3624.0,5.0,25469.201094581636,5.896811320280159,20.4758638952597,21.294358782915573
4344.0,5.0,25469.201094581636,5.896811320280159,20.4758638952597,21.294358782915573
4344.0,5.0,25469.201094581636,5.896811320280159,20.4758638952597,21.294358782915573
4344.0,6.0,23483.799716245045,5.437137014847559,20.560522002600194,21.315212734323627
4356.4524244482855,6.0,23483.799716245045,5.437137014847559,20.560522002600194,21.315212734323627
4356.4524244482855,6.0,23483.799716245045,5.437137014847559,20.560522002600194,21.315212734323627
4356.4524244482855,6.016737129634793,40081.11739217456,9.279866529379856,20.912793650333565,22.20086662738541
4357.5475755517145,6.016737129634793,40081.11739217456,9.279866529379856,20.912793650333565,22.20086662738541
4357.5475755517145,6.016737129634793,40081.11739217456,9.279866529379856,20.912793650333565,22.20086662738541
4357.5475755517145,6.018209106924347,187818.1836,43.48500713053598,19.24125579995791,25.27710366634884
4740.5,6.018209106924347,187818.1836,43.48500713053598,19.24125579995791,25.27710366634884
4740.5,6.018209106924347,187818.1836,43.48500713053598,19.24125579995791,25.27710366634884
4740.5,6.532930107526882,40081.11739217456,9.279866529379856,21.60866864052851,22.896741617580354
4741.5,6.532930107526882,40081.11739217456,9.279866529379856,21.60866864052851,22.896741617580354
4741.5,6.532930107526882,40081.11739217456,9.279866529379856,21.60866864052851,22.896741617580354
4741.5,6.534274193548387,-4753.617689,-1.1005915143032348,22.17723295998561,22.02446759597328
5088.0,6.534274193548387,-4753.617689,-1.1005915143032348,22.17723295998561,22.02446759597328
5088.0,6.534274193548387,-4753.617689,-1.1005915143032348,22.17723295998561,22.02446759597328
5088.0,7.0,40081.11739217456,9.279866529379856,21.799032493259975,23.08710547031182
5832.0,7.0,40081.11739217456,9.279866529379856,21.799032493259975,23.08710547031182
5832.0,7.0,40081.11739217456,9.279866529379856,21.799032493259975,23.08710547031182
5832.0,8.0,20818.024670514584,4.819937739196626,20.93733594462444,21.6063575876918
5844.5,8.0,20818.024670514584,4.819937739196626,20.93733594462444,21.6063575876918
5844.5,8.0,20818.024670514584,4.819937739196626,20.93733594462444,21.6063575876918
5844.5,8.01736111111111,24277.08675236377,5.620804494539789,21.01287074133742,21.793055063578105
5845.5,8.01736111111111,24277.08675236377,5.620804494539789,21.01287074133742,21.793055063578105
5845.5,8.01736111111111,24277.08675236377,5.620804494539789,21.01287074133742,21.793055063578105
5845.5,8.01875,249706.1454,57.81375000613975,18.160645057198348,26.18536490087005
6396.408363340998,8.01875,249706.1454,57.81375000613975,18.160645057198348,26.18536490087005
6396.408363340998,8.01875,249706.1454,57.81375000613975,18.160645057198348,26.18536490087005
6396.408363340998,8.783900504640275,24277.08675236377,5.620804494539789,21.24081601272195,22.021000334962636
6397.591636659002,8.783900504640275,24277.08675236377,5.620804494539789,21.24081601272195,22.021000334962636
6397.591636659002,8.783900504640275,24277.08675236377,5.620804494539789,21.24081601272195,22.021000334962636
6397.591636659002,8.78554393980417,-19832.53358,-4.591769804246442,21.697826060834743,21.060474803360602
6552.0,8.78554393980417,-19832.53358,-4.591769804246442,21.697826060834743,21.060474803360602
6552.0,8.78554393980417,-19832.53358,-4.591769804246442,21.697826060834743,21.060474803360602
6552.0,9.0,24277.08675236377,5.620804494539789,21.268669525729578,22.048853847970264
6804.5,9.0,24277.08675236377,5.620804494539789,21.268669525729578,22.048853847970264
6804.5,9.0,24277.08675236377,5.620804494539789,21.268669525729578,22.048853847970264
6804.5,9.339381720430108,19347.945931940958,4.479574611388571,21.044231434577338,21.66600966676951
6805.5,9.339381720430108,19347.945931940958,4.479574611388571,21.044231434577338,21.66600966676951
6805.5,9.339381720430108,19347.945931940958,4.479574611388571,21.044231434577338,21.66600966676951
6805.5,9.340725806451612,-51663.04213,-11.961396454524285,21.94367125736889,20.283393979447087
6876.5,9.340725806451612,-51663.04213,-11.961396454524285,21.94367125736889,20.283393979447087
6876.5,9.340725806451612,-51663.04213,-11.961396454524285,21.94367125736889,20.283393979447087
