Month,Day,Hour,Time (Hours),Loading (W) (Extraction)
1,13,20,307,-13645.39216
1,13,21,308,-13651.04704
1,13,22,309,-9857.006744
1,13,23,310,43237.66508
1,13,24,311,0.0
1,14,1,312,0.0
1,14,2,313,0.0
1,14,3,314,0.0
1,14,4,315,0.0
1,14,5,316,0.0
1,14,6,317,0.0
1,14,7,318,14413.8786
1,14,8,319,7223.797989
1,14,9,320,-13338.14844
1,14,10,321,1577.466961
1,14,11,322,3905.15226
1,14,12,323,-11200.82526
1,14,13,324,-5616.730225
1,14,14,325,4616.950506
1,14,15,326,-12028.83591
1,14,16,327,-21017.0008
1,14,17,328,-34212.73593
1,14,18,329,-5863.851285
1,14,19,330,-13819.15738
1,14,20,331,345.8739111
1,14,21,332,-9831.062042
1,14,22,333,-7742.092408
1,14,23,334,43045.1866
1,14,24,335,0.0
1,15,1,336,0.0
1,15,2,337,0.0
1,15,3,338,0.0
1,15,4,339,0.0
1,15,5,340,0.0
1,15,6,341,0.0
1,15,7,342,1180.280777
1,15,8,343,11773.8093
1,15,9,344,-9945.85616
1,15,10,345,12729.08622
1,15,11,346,-3624.194735
1,15,12,347,4807.959328
1,15,13,348,-3684.616825
1,15,14,349,5220.281642
1,15,15,350,-8895.937931
1,15,16,351,1429.022896
1,15,17,352,-2494.270364
1,15,18,353,-3631.543913
1,15,19,354,-13248.90875
1,15,20,355,-27077.28903
1,15,21,356,-9609.18647
1,15,22,357,-20504.75703
1,15,23,358,0.0
1,15,24,359,0.0
1,16,1,360,0.0
1,16,2,361,0.0
1,16,3,362,0.0
1,16,4,363,0.0
1,16,5,364,0.0
1,16,6,365,0.0
1,16,7,366,13995.37557
1,16,8,367,2196.056208
1,16,9,368,17208.06202
1,16,10,369,3846.250411
1,16,11,370,4373.478897
1,16,12,371,10525.76927
1,16,13,372,8997.082163
1,16,14,373,1266.420886
1,16,15,374,12241.19189
1,16,16,375,-2194.619608
1,16,17,376,-5442.861851
1,16,18,377,5098.140003
1,16,19,378,-2777.309628
1,16,20,379,-4008.541119
1,16,21,380,-5790.428686
1,16,22,381,-12008.12401
1,16,23,382,-4840.312112
1,16,24,383,-62625.49709
1,17,1,384,0.0
1,17,2,385,0.0
1,17,3,386,0.0
1,17,4,387,0.0
1,17,5,388,0.0
1,17,6,389,0.0
1,17,7,390,21124.93008
1,17,8,391,6219.221862
1,17,9,392,14000.52451
1,17,10,393,-2625.942626
1,17,11,394,1444.869867
1,17,12,395,-497.981645
1,17,13,396,-979.1762208
1,17,14,397,7.717085778
1,17,15,398,-13347.85684
1,17,16,399,-20791.04049
1,17,17,400,-11611.44197
1,17,18,401,-20417.63912
1,17,19,402,-15818.53708
1,17,20,403,-14012.58202
1,17,21,404,-8513.364015
1,17,22,405,-8106.789636
1,17,23,406,-11756.2272
1,17,24,407,0.0
1,18,1,408,0.0
1,18,2,409,0.0
1,18,3,410,0.0
1,18,4,411,0.0
1,18,5,412,0.0
1,18,6,413,0.0
1,18,7,414,17757.35088
1,18,8,415,5015.907306
1,18,9,416,-4247.170326
1,18,10,417,354.7139409
1,18,11,418,13815.35501
