l_lts,g_lts,l_sts,g_sts
,,-12.20625753014729,0.3269307746548307
,,-12.19301230339727,0.33864923217306575
,,-12.179940221829916,0.3501777979816182
,,-12.167036816994008,0.3615215445109183
,,-12.154297791216578,0.37268536349931547
,,-12.14171900900972,0.38367397398825603
,,-12.12929648901116,0.39449192989605303
,,-12.117026396419346,0.4051436271857499
,,-12.104905035887002,0.4156333106606235
,,-12.092928844840287,0.4259650804146803
,,-12.081094387193284,0.43614289794337796
,,-12.069398347430093,0.44617059195589187
,,-12.057837525029017,0.4560518638862867
,,-12.046408829205394,0.46579029313723574
,,-12.035109273951461,0.47538934206108574
,,-12.023935973353336,0.4848523607021196
,,-12.01288613716675,0.49418259130356806
,,-12.00195706663456,0.5033831726043734
,,-11.991146150530344,0.5124571439286326
,,-11.980450861413596,0.521407449080726
,,-11.969868752083059,0.5302369400636472
,,-11.959397452215764,0.5389483806196713
,,-11.949034665180218,0.5475444496090538
,,-11.938778165013028,0.5560277442371265
,,-11.92862579354901,0.5644007831320942
,,-11.918575457695509,0.5726660092910477
,,-11.90862512684234,0.5808257928841172
,,-11.898772830399329,0.5888824339441663
,,-11.889016655453965,0.5968381649338701
,,-11.879354744542228,0.6046951532030382
,,-11.869785293526077,0.6124555033370942
,,-11.860306549571533,0.6201212594080859
,,-11.850916809221694,0.6276944071279866
,,-11.84161441655938,0.6351768759110049
,,-11.832397761454457,0.6425705408485999
,,-11.823265277891185,0.6498772246040158
,,-11.814215442371266,0.6570986992282546
,,-11.805246772388506,0.6642366878993605
,,-11.79635782497126,0.6712928665918294
,,-11.787547195289104,0.6782688656812779
,,-11.77881351532035,0.6851662714752554
,,-11.770155452577235,0.6919866276975052
,,-11.761571708885844,0.6987314368985583
,,-11.753061019217936,0.7054021618196818
,,-11.74462215057207,0.7120002267009647
,,-11.736253900901554,0.7185270185362308
,,-11.72795509808686,0.7249838882846147
,,-11.719724598950343,0.7313721520268056
,,-11.711561288311183,0.737693092088465
,,-11.703464078078563,0.743947958110086
,,-11.6954319063813,0.7501379680843632
,,-11.687463736732122,0.7562643093502274
,,-11.67955855722501,0.7623281395512224
,,-11.671715379763983,0.7683305875585128
,,-11.663933239321928,0.7742727543593383
,,-11.656211193228017,0.7801557139128824
,,-11.64854832048245,0.7859805139765789
,,-11.64094372109723,0.7917481768995437
,,-11.633396515461847,0.7974597003891815
,,-11.625905843732689,0.8031160582525472
,,-11.61847086524517,0.8087182011066111
,,-11.611090757947547,0.8142670570654392
,,-11.603764717855475,0.8197635324059228
,,-11.596491958526396,0.8252085122069674
,,-11.589271710552909,0.83060286096656
,,-11.582103221074297,0.8359474231985343
,,-11.574985753305432,0.8412430240087494
,,-11.567918586082339,0.8464904696527907
,,-11.560901013423694,0.8516905480703485
,,-11.553932344107599,0.8568440294069259
,,-11.547011901263026,0.8619516665143357
,,-11.540139021975264,0.867014195436991
,,-11.533313056904865,0.8720323358781367
,,-11.526533369919486,0.8770067916548503
,,-11.51979933773814,0.8819382511358628
,,-11.513110349587345,0.8868273876669008
,,-11.506465806868675,0.8916748599780814
,,-11.499865122837324,0.8964813125830035
,,-11.493307722291165,0.9012473761618589
,,-11.486793041269971,0.9059736679328335
,,-11.480320526764354,0.9106607920122302
,,-11.473889636434063,0.9153093397634107
,,-11.467499838335293,0.9199198901338349
,,-11.461150610656633,0.9244930099805347
,,-11.454841441463369,0.9290292543881498
,,-11.448571828449774,0.9335291669753002
,,-11.442341278699137,0.9379932801913627
,,-11.436149308451217,0.942422115605999
,,-11.429995442876837,0.946816184184287
,,-11.423879215859401,0.9511759865633405
,,-11.41780016978302,0.95550201330858
,,-11.411757855327057,0.9597947451725953
,,-11.405751831266846,0.9640546533397548
,,-11.399781664280342,0.9682821996676956
,,-11.393846928760526,0.9724778369160952
,,-11.387947206633338,0.9766420089770286
,,-11.38208208718094,0.9807751510875665
,,-11.376251166870148,0.9848776900476548
,,-11.37045404918582,0.9889500444230668
,,-11.364690344469071,0.9929926247473497
,,-11.358959669760086,0.9970058337129233
,,-11.353261648645448,1.0009900663655393
,,-11.34759591110977,1.0049457102806956
,,-11.341962093391516,1.008873145747345
,,-11.336359837842846,1.012772745937159
,,-11.33078879279339,1.0166448770743675
,,-11.325248612417775,1.0204898985985436
,,-11.319738956606805,1.0243081633248448
,,-11.31425949084218,1.0281000175944652
,,-11.308809886074615,1.0318658014293085
,,-11.303389818605275,1.0356058486741382
,,-11.297998969970399,1.039320487142613
,,-11.292637026829013,1.0430100387493093
,,-11.28730368085365,1.0466748196493276
,,-11.281998628623958,1.0503151403668116
,,-11.276721571523113,1.053931305920635
,,-11.27147221563697,1.0575236159505235
,,-11.266250271655819,1.0610923648355903
,,-11.261055454778715,1.0646378418098512
,,-11.255887484620272,1.068160331082153
,,-11.250746085119854,1.071660111938491
,,-11.245630984453083,1.0751374588575215
,,-11.240541914945611,1.0785926416111036
,,-11.235478612989064,1.0820259253684872
,,-11.230440818959108,1.0854375707975252
,,-11.225428277135563,1.088827834157057
,,-11.220440735624525,1.0921969673968714
,,-11.215477946282395,1.09554521824582
,,-11.210539664641813,1.0988728303043904
,,-11.205625649839384,1.1021800431308972
,,-11.200735664545192,1.105467092327387
,,-11.19586947489402,1.1087342096219894
,,-11.19102685041823,1.1119816229496389
,,-11.186207563982283,1.1152095565341857
,,-11.18141139171879,1.118418230960479
,,-11.176638112966131,1.1216078632539834
,,-11.171887510207533,1.124778666951038
,,-11.167159369011587,1.1279308521728573
,,-11.162453477974175,1.1310646256914716
,,-11.157769628661748,1.1341801910019522
,,-11.153107615555937,1.137277748386433
,,-11.148467235999435,1.1403574949788953
,,-11.14384829014314,1.1434196248287103
,,-11.139250580894512,1.1464643289617302
,,-11.134673913867099,1.1494917954424846
,,-11.13011809733124,1.1525022094286979
,,-11.125582942165847,1.1554957532324295
,,-11.12106826181132,1.158472606376032
,,-11.116573872223482,1.1614329456433083
,,-11.11209959182856,1.1643769451355654
,,-11.10764524147918,1.167304776323493
,,-11.103210644411314,1.1702166080983203
,,-11.098795626202197,1.1731126068200008
,,-11.094400014729159,1.1759929363664012
,,-11.09002364012936,1.178857758181101
,,-11.085666334760404,1.181707231319752
,,-11.081327933161807,1.1845415124952363
,,-11.07700827201729,1.1873607561197563
,,-11.0727071901179,1.1901651143533996
,,-11.068424528325899,1.192954737140277
,,-11.064160129539442,1.195729772254162
,,-11.059913838657991,1.1984903653356829
,,-11.055685502548469,1.2012366599343633
,,-11.051474970012126,1.203968797544999
,,-11.04728209175209,1.2066869176485466
,,-11.043106720341608,1.2093911577439407
,,-11.038948710192946,1.2120816533896543
,,-11.034807917526914,1.2147585382361412
,,-11.030684200343051,1.2174219440591403
,,-11.026577418390398,1.2200720007963903
,,-11.022487433138874,1.222708836577478
,,-11.018414107751237,1.2253325777596897
,,-11.014357307055622,1.2279433489566116
,,-11.010316897518617,1.2305412730700453
,,-11.006292747218893,1.2331264713210572
,,-11.002284725821355,1.2356990632782445
,,-10.998292704551817,1.2382591668870115
,,-10.994316556172176,1.2408068984991774
,,-10.99035615495608,1.2433423728990376
,,-10.986411376665064,1.245865703331533
,,-10.982482098525175,1.2483770015284055
,,-10.978568199204037,1.2508763777354086
,,-10.97466955878838,1.2533639407350068
,,-10.970786058761982,1.2558397978756992
,,-10.966917581984063,1.2583040550903024
,,-10.963064012668072,1.2607568169282013
,,-10.959225236360908,1.2631981865699384
,,-10.955401139922504,1.2656282658568236
,,-10.951591611505835,1.2680471553106587
,,-10.947796540537285,1.2704549541554775
,,-10.944015817697379,1.2728517603401488
,,-10.940249334901901,1.2752376705602608
,,-10.93649698528335,1.277612780275926
,,-10.932758663172743,1.2799771837364957
,,-10.92903426408176,1.2823309739949094
,,-10.925323684685225,1.2846742429327465
,,-10.9216268228039,1.2870070812761587
,,-10.917943577387604,1.2893295786150671
,,-10.91427384849864,1.2916418234223097
,,-10.91061753729553,1.2939439030712545
,,-10.906974546017029,1.296235903853124
,,-10.903344777966451,1.2985179109953278
,,-10.899728137496261,1.3007900086768678
,,-10.896124529992964,1.303052280047486
,,-10.892533861862235,1.3053048072389433
,,-10.888956040514351,1.3075476713884382
,,-10.885390974349855,1.3097809526493087
,,-10.881838572745487,1.3120047302062943
,,-10.878298746040363,1.3142190822928599
,,-10.874771405522393,1.3164240862054009
,,-10.87125646341495,1.3186198183166333
,,-10.867753832863748,1.320806354091143
,,-10.86426342792398,1.322983768098102
,,-10.860785163547654,1.3251521340279704
,,-10.857318955571168,1.3273115247022864
,,-10.853864720703081,1.3294620120887828
,,-10.850422376512109,1.331603667314633
,,-10.846991841415319,1.3337365606775369
,,-10.843573034666534,1.3358607616606457
,,-10.84016587634492,1.3379763389430244
,,-10.83677028734378,1.3400833604126567
,,-10.83338618935954,1.3421818931766194
,,-10.8300135048809,1.344272003575816
,,-10.826652157178195,1.3463537571926543
,,-10.823302070292915,1.3484272188662119
,,-10.8199631690274,1.3504924526997235
,,-10.816635378934725,1.3525495220732495
,,-10.81331862630873,1.3545984896546661
,,-10.81001283817423,1.3566394174077763
,,-10.806717942277379,1.3586723666053626
,,-10.803433867076189,1.3606973978368182
,,-10.80016054173122,1.3627145710207684
,,-10.796897896096404,1.3647239454119813
,,-10.793645860710026,1.3667255796117332
,,-10.790404366785856,1.3687195315792315
,,-10.787173346204408,1.3707058586364615
,,-10.783952731504366,1.3726846174833987
,,-10.780742455874117,1.3746558642000248
,,-10.777542453143447,1.3766196542602938
,,-10.774352657775347,1.378576042537746
,,-10.771173004857967,1.3805250833169784
,,-10.768003430096687,1.3824668302977232
,,-10.76484386980632,1.3844013366064625
,,-10.761694260903424,1.38632865480209
,,-10.758554540898755,1.388248836886423
,,-10.755424647889829,1.390161934308807
,,-10.752304520553585,1.3920679979768678
,,-10.749194098139192,1.393967078261645
,,-10.746093320460943,1.3958592250049837
,,-10.743002127891272,1.3977444875287002
,,-10.739920461353863,1.3996229146407249
,,-10.736848262316892,1.4014945546403808
,,-10.733785472786346,1.4033594553272148
,,-10.730732035299457,1.405217664008532
,,-10.727687892918228,1.40706922750429
,,-10.724652989223074,1.4089141921515629
,,-10.721627268306538,1.4107526038174025
,,-10.718610674767111,1.4125845078994619
,,-10.715603153703157,1.4144099493337228
,,-10.7126046507069,1.4162289726015973
,,-10.709615111858534,1.4180416217339118
,,-10.706634483720396,1.4198479403201207
,,-10.703662713331239,1.4216479715118104
,,-10.70069974820058,1.4234417580276897
,,-10.69774553630315,1.42522934216194
,,-10.694800026073393,1.42701076578652
,,-10.691863166400083,1.4287860703593713
,,-10.688934906620995,1.4305552969293611
,,-10.68601519651766,1.4323184861390188
,,-10.683103986310202,1.4340756782326933
,,-10.68020122665224,1.4358269130612094
,,-10.677306868625877,1.437572230086089
,,-10.67442086373674,1.4393116683837286
,,-10.671543163909126,1.4410452666531723
,,-10.668673721481174,1.4427730632163522
,,-10.66581248920014,1.4444950960277825
,,-10.662959420217735,1.4462114026771993
,,-10.660114468085503,1.4479220203930636
,,-10.657277586750304,1.449626986047264
,,-10.654448730549825,1.4513263361618363
,,-10.651627854208185,1.453020106910883
,,-10.64881491283157,1.4547083341255154
,,-10.646009861903961,1.4563910532989899
,,-10.6432126572829,1.4580682995901144
,,-10.640423255195321,1.459740107827184
,,-10.637641612233445,1.461406512512396
,,-10.63486768535072,1.4630675478264092
,,-10.63210143185783,1.4647232476318472
,,-10.62934280941875,1.4663736454754093
,,-10.62659177604686,1.4680187745943027
,,-10.623848290101108,1.4696586679198407
,,-10.621112310282234,1.4712933580796503
,,-10.61838379562903,1.4729228774014642
,,-10.61566270551467,1.4745472579176309
,,-10.612948999643073,1.4761665313679952
,,-10.61024263804533,1.477780729205129
,,-10.607543581076165,1.4793898825940424
,,-10.604851789410453,1.4809940224193354
,,-10.602167224039786,1.4825931792865894
,,-10.599489846269067,1.4841873835271657
,,-10.596819617713189,1.4857766651984463
,,-10.594156500293705,1.4873610540894007
,,-10.59150045623559,1.4889405797254798
,,-10.588851448064013,1.4905152713669858
,,-10.586209438601173,1.49208515801651
,,-10.583574390963168,1.4936502684182131
,,-10.580946268556898,1.4952106310648796
,,-10.578325035077025,1.4967662741969103
,,-10.575710654502954,1.4983172258079849
,,-10.573103091095874,1.499863513647174
,,-10.570502309395817,1.5014051652213387
,,-10.56790827421877,1.5029422077968573
,,-10.565320950653819,1.5044746684053856
,,-10.562740304060327,1.5060025738436635
,,-10.560166300065154,1.5075259506779801
,,-10.557598904559908,1.509044825245179
,,-10.555038083698234,1.5105592236563075
,,-10.552483803893137,1.5120691717997836
,,-10.549936031814338,1.5135746953417315
,,-10.547394734385666,1.5150758197306367
,,-10.544859878782479,1.5165725701989783
,,-10.542331432429119,1.51806497176534
,,-10.53980936299641,1.5195530492376743
,,-10.537293638399163,1.5210368272143087
,,-10.534784226793736,1.5225163300881228
,,-10.532281096575618,1.5239915820448193
,,-10.529784216377031,1.5254626070724748
,,-10.52729355506458,1.5269294289553967
,,-10.524809081736917,1.5283920712825696
,,-10.522330765722451,1.5298505574460242
,,-10.519858576577061,1.5313049106448673
,,-10.517392484081867,1.5327551538884507
,,-10.514932458241006,1.534201309994162
,,-10.512478469279438,1.535643401594145
,,-10.5100304876408,1.5370814511350581
,,-10.507588483985247,1.5385154808806671
,,-10.505152429187365,1.539945512912421
,,-10.502722294334074,1.541371569133674
,,-10.500298050722568,1.5427936712699266
,,-10.497879669858285,1.5442118408714165
,,-10.495467123452903,1.5456260993153752
,,-10.493060383422337,1.5470364678055464
,,-10.490659421884798,1.5484429673776106
,,-10.488264211158844,1.549845618897648
,,-10.485874723761462,1.5512444430663628
,,-10.483490932406186,1.5526394604197546
,,-10.48111281000122,1.5540306913314221
,,-10.478740329647588,1.555418156011795
