Hours,HPHtgLd_W
882,19728.4
883,16261.3
884,16244.5
885,16249.9
886,13760.7
887,13429.4
888,13431.2
889,13435.9
890,13436
891,13436.1
892,13436.3
893,13436.4
894,13436.6
895,13435
896,22806.4
897,27826.3
898,31638.3
899,37357.7
900,39257.8
901,34022.6
902,39256.3
903,37357.2
904,35449.8
905,30214.4
906,19729.6
907,16262.6
908,16248.6
909,16248.7
910,13761.7
911,13430.7
912,13434.9
913,13436.5
914,13436.6
915,13436.8
916,13437
917,13437
918,13437.3
919,13432.2
920,22808.7
921,27828
922,31638.8
923,37359.9
924,39259.8
925,34024.1
926,39258.4
927,37358
928,35451.5
929,30216.7
930,19729.8
931,16263
932,16251.7
933,16247.2
934,13762
935,13432.4
936,13436.5
937,13436.5
938,13436.6
939,13436.8
940,13437
941,13437
942,13436.1
943,13430.2
944,22809.8
945,27828.3
946,31637.9
947,37359
948,39261.1
949,34024
950,39258.8
951,37356.9
952,35451.4
953,30217.7
954,19728.2
955,16262.7
956,16253.4
957,16244.6
958,13761.7
959,13434.8
960,13436.4
961,13435.9
962,13436
963,13436.2
964,13436.3
965,13436.4
966,13431.8
967,13429.6
968,22808.8
969,27827.3
970,31636.5
971,37355.6
972,39260.8
973,34021.3
974,39257.3
975,37353.8
976,35449.9
977,30216.1
978,19726.9
979,16261.6
980,16255.4
981,16240.7
982,13761.5
983,13435.5
984,13435.8
985,13434.7
986,13434.8
987,13434.9
988,13435.1
989,13433.7
990,13428.3
991,13428.3
992,13428.5
993,18520.2
994,23212.7
995,27685.3
996,27684.4
997,27461.2
998,27460.7
999,27424.8
1000,27425.8
1001,27426.1
1002,22555.4
1003,13439.5
1004,13428.3
1005,13428.4
1006,13428.6
1007,13428.8
1008,13429
1009,13427.3
1010,13431.2
1011,13432.5
1012,13432.6
1013,13432.7
1014,13432.9
1015,13433
1016,13433.2
1017,17810
1018,22225.8
1019,26621.1
1020,26616.1
1021,26616
1022,26617.1
1023,26618.4
1024,26617.6
1025,26615.9
1026,22224.3
1027,13433.1
1028,13433.2
1029,13429.1
1030,13426.4
1031,13426.5
1032,13426.7
1033,13424.4
1034,13424.4
1035,13424.8
1036,13430
1037,13430.2
1038,13430
1039,13430.3
1040,22799.4
1041,27816.8
1042,31626.4
1043,37338.8
1044,39237.4
1045,34008.3
1046,39242.9
1047,37342.8
1048,35434
1049,30195.6
1050,19724.1
1051,16250.5
1052,16233.1
1053,16256.3
1054,13757
1055,13424.4
1056,13424.3
1057,13421.4
1058,13421.5
1059,13426.7
1060,13426.7
1061,13427.1
1062,13427
1063,13427.3
1064,22794.6
1065,27807.3
1066,31618.4
1067,37330.9
1068,39228.8
1069,34000.3
1070,39230.4
1071,37334
1072,35424.5
1073,30188.5
1074,19717.9
1075,16251.9
1076,16229.2
1077,16246.5
1078,13753
1079,13421.2
1080,13421.2
1081,13419
1082,13422.8
1083,13422.9
1084,13423
1085,13423.3
1086,13423.4
1087,13423.4
1088,22785.6
1089,27797.9
1090,31609.1
1091,37321.2
1092,39218.4
1093,33988.8
1094,39216.8
1095,37321.1
1096,35414.3
1097,30183.2
1098,19710.4
1099,16246.6
1100,16231.5
1101,16233.6
1102,13748.2
1103,13417.4
1104,13421.1
1105,13418.6
1106,13418.5
1107,13418.6
1108,13418.8
1109,13418.9
1110,13419.1
1111,13413.1
1112,22777.9
1113,27790.1
1114,31594.7
1115,37308
1116,39207.6
1117,33977.6
1118,39205.5
1119,37305.1
1120,35403
1121,30176.5
1122,19700.6
1123,16240.2
1124,16234.8
1125,16218.9
1126,13743.9
1127,13418.2
1128,13418.5
1129,13413.8
1130,13413.7
1131,13413.8
1132,13414
1133,13409.3
1134,13406.9
1135,13407
1136,22773.1
1137,27781.3
1138,31584
1139,37290.2
1140,39198.8
1141,33963.1
1142,39190.7
1143,37289
1144,35390.1
1145,30161.6
1146,19697.6
1147,16225.8
1148,16235.2
1149,16216.9
1150,13738.6
1151,13413.3
1152,13413.7
1153,13408.5
1154,13408.3
1155,13403.4
1156,13401.2
1157,13401.3
1158,13401.5
1159,13401.6
1160,13401.8
1161,18500.8
1162,23157.4
1163,27626.5
1164,27624.1
1165,27405.7
1166,27406.3
1167,27370.4
1168,27370.8
1169,27371.8
1170,22507.6
1171,13403.6
1172,13401.8
1173,13401.9
1174,13406.2
1175,13407.6
1176,13407.7
1177,13401.9
1178,13401.7
1179,13401.9
1180,13401.4
1181,13394.8
1182,13394.8
1183,13394.9
1184,13395.2
1185,17791.9
1186,22166.7
1187,26552
1188,26553.8
1189,26554.9
1190,26556.6
1191,26552.7
1192,26553.8
1193,26554.9
1194,22168.3
1195,13396.6
1196,13395.4
1197,13395.7
1198,13401.3
1199,13401.3
1200,13401.4
1201,13395.1
1202,13394.8
1203,13395
1204,13391.9
1205,13387.7
1206,13387.9
1207,13387.9
1208,13388.3
1209,17785.6
1210,22155.3
1211,26536.6
1212,26540
1213,26541.1
1214,26541.9
1215,26538.9
1216,26540
1217,26541.2
1218,22156.5
1219,13388.1
1220,13388.5
1221,13392.8
1222,13394.3
1223,13394.4
1224,13394.6
1225,13387.6
1226,13387.4
1227,13385.8
1228,13380
1229,13380.1
1230,13380.4
1231,13380.5
1232,22731.4
1233,27727.6
1234,31522.5
1235,37214.3
1236,39118.2
1237,33890.4
1238,39118.4
1239,37214.4
1240,35318.3
1241,30096.9
1242,19665.8
1243,16180.4
1244,16201.4
1245,16201.2
1246,13711.7
1247,13387.2
1248,13380.9
1249,13372.3
1250,13372
1251,13372.2
1252,13372.4
1253,13372.5
1254,13378.5
1255,13378.9
1256,22714.1
1257,27714.5
1258,31504.4
1259,37192.8
1260,39084.8
1261,33877.1
1262,39090.8
1263,37197.2
1264,35296.5
1265,30078.2
1266,19647.1
1267,16190.9
1268,16170.7
1269,16189.3
1270,13703.3
1271,13372.5
1272,13372.5
1273,13366.5
1274,13369.7
1275,13369.8
1276,13370
1277,13370.1
1278,13370.3
1279,13369.8
1280,22692.2
1281,27687.3
1282,31478.8
1283,37170.9
1284,39063.3
1285,33851.8
1286,39062.2
1287,37166.5
1288,35273.2
1289,30063.6
1290,19631.1
1291,16175.3
1292,16181.8
1293,16162.1
1294,13694
1295,13369.8
1296,13370.1
1297,13361.4
1298,13361.1
1299,13354.6
1300,13353.4
1301,13353.5
1302,13353.8
1303,13353.9
1304,22688.4
1305,27673.2
1306,31460.4
1307,37140
1308,39037.6
1309,33823.8
1310,39041.9
1311,37138.8
1312,35248.1
1313,30037
1314,19624.1
1315,16158.5
1316,16156.3
1317,16170.8
1318,13685.9
1319,13353.9
1320,13353.7
1321,13344.3
1322,13343.9
1323,13347.3
1324,13350.3
1325,13350.4
1326,13350.6
1327,13350.9
1328,13350.9
1329,18394.4
1330,23068.3
1331,27506.4
1332,27507.2
1333,27289.6
1334,27289.1
1335,27250
1336,27251
1337,27251.5
1338,22413.6
1339,13354.3
1340,13345.9
1341,13343.2
1342,13343.4
1343,13343.6
1344,13343.8
1345,13334
1346,13339.8
1347,13339.8
1348,13339.9
1349,13340.1
1350,13340.3
1351,13339.9
1352,13332.6
1353,17690.8
1354,22066.1
1355,26434.8
1356,26429.3
1357,26430.5
1358,26432.4
1359,26430.6
1360,26429.6
1361,26430.8
1362,22065.5
1363,13336.3
1364,13333
1365,13333.1
1366,13336.8
1367,13339.7
1368,13339.8
1369,13329.5
1370,13329
1371,13329.2
1372,13324.1
1373,13321.1
1374,13321.3
1375,13321.4
1376,22630.5
1377,27605.2
1378,31383.6
1379,37049.5
1380,38943.7
1381,33740.9
1382,38947.5
1383,37049
1384,35162.4
1385,29964.4
1386,19576.2
1387,16121.9
1388,16114.6
1389,16132.1
1390,13652.4
1391,13321.7
1392,13321.6
1393,13310.5
1394,13312.3
1395,13316.7
1396,13316.8
1397,13317.2
1398,13317.1
1399,13317.2
1400,22602.7
1401,27575.3
1402,31351.9
1403,37020.6
1404,38906.9
1405,33714.7
1406,38905
1407,37016.7
1408,35131.8
1409,29937.4
1410,19560.4
1411,16099.3
1412,16117.6
1413,16108.9
1414,13639.8
1415,13317
1416,13316.1
1417,13297.3
1418,13296.7
1419,13296.9
1420,13297.2
1421,13297.3
1422,13304
1423,13304.6
1424,22585.4
1425,27557.2
1426,31326.8
1427,36984.2
1428,38865.6
1429,33685.9
1430,38864.8
1431,36986.1
1432,35095.8
1433,29915.5
1434,19531.1
1435,16100.6
1436,16098.3
1437,16080.5
1438,13626.9
1439,13304.2
1440,13304.5
1441,13292.5
1442,13291.9
1443,13286.4
1444,13283.5
1445,13283.6
1446,13283.9
1447,13284
1448,22570.7
1449,27528.6
1450,31296.3
1451,36946.6
1452,38829.7
1453,33651.2
1454,38832
1455,36950.5
1456,35062.4
1457,29879.4
1458,19515.8
1459,16086
1460,16070
1461,16072.4
1462,13611.6
1463,13287.2
1464,13291.3
1465,13278.6
1466,13278
1467,13278.2
1468,13278.4
1469,13270.5
1470,13269.8
1471,13269.9
1472,22542.4
1473,27498
1474,31262.2
1475,36906.2
1476,38792.1
1477,33612
1478,38793.7
1479,36907.8
1480,35026.1
1481,29848.3
1482,19497.3
1483,16068.6
1484,16048.5
1485,16063.2
1486,13598.2
1487,13270.4
1488,13274.1
1489,13264.4
1490,13263.6
1491,13263.9
1492,13264
1493,13263.2
1494,13255.3
1495,13255.3
1496,13255.6
1497,18289.8
1498,22908.3
1499,27328.4
1500,27323
1501,27107.1
1502,27107.9
1503,27072.6
1504,27073.1
1505,27072.8
1506,22258.3
1507,13257.9
1508,13263.6
1509,13264
1510,13263.9
1511,13264.1
1512,13258.8
1513,13241.4
1514,13240.7
1515,13240.9
1516,13241.1
1517,13247.4
1518,13248.8
1519,13249.1
1520,13249.2
1521,17570.1
1522,21916.4
1523,26251.8
1524,26247.1
1525,26247
1526,26248.3
1527,26250.3
1528,26246.5
1529,26247.8
1530,21913.1
1531,13244.3
1532,13240.9
1533,13241.1
1534,13248.8
1535,13248.8
1536,13249
1537,13234.8
1538,13234.1
1539,13226.9
1540,13225
1541,13225.1
1542,13225.5
1543,13226.3
1544,22471.3
1545,27408.2
1546,31159.4
1547,36783.2
1548,38654.7
1549,33503.9
1550,38654.6
1551,36785.6
1552,34905.6
1553,29754.5
1554,19421.8
1555,16015.6
1556,16015.1
1557,15998.5
1558,13554.4
1559,13233.6
1560,13234
1561,13216.6
1562,13208.8
1563,13209
