Month,Day,Hour,Time (Hours),Loading (W) (Extraction)
1,19,20,451,-2181.97303644444
1,19,21,452,-778.1565528
1,19,22,453,-2088.15511235556
1,19,23,454,0
1,19,24,455,0
1,20,1,456,0
1,20,2,457,0
1,20,3,458,0
1,20,4,459,0
1,20,5,460,0
1,20,6,461,0
1,20,7,462,-191.082071373333
1,20,8,463,-15516.8258204444
1,20,9,464,-32980.1713466667
1,20,10,465,-32443.5581422222
1,20,11,466,-15160.8323417778
1,20,12,467,-18214.8384693333
1,20,13,468,-27473.130712
1,20,14,469,-33280.8623066667
1,20,15,470,-70771.9841955556
1,20,16,471,-83326.2713822222
1,20,17,472,-85492.6530355556
1,20,18,473,-43300.3774533333
1,20,19,474,-10490.8614146667
1,20,20,475,-2572.19135946667
1,20,21,476,-2828.13915293333
1,20,22,477,-7847.00830711111
1,20,23,478,0
1,20,24,479,0
1,21,1,480,0
1,21,2,481,0
1,21,3,482,0
1,21,4,483,0
1,21,5,484,0
1,21,6,485,0
1,21,7,486,-10136.5091342222
1,21,8,487,29068.8442977778
1,21,9,488,30558.8178266667
1,21,10,489,18813.8758204445
1,21,11,490,12087.1904497778
1,21,12,491,7378.73928577778
1,21,13,492,12094.9275271111
1,21,14,493,7333.10811377778
1,21,15,494,-847.365295688889
1,21,16,495,4279.48297866667
1,21,17,496,3748.26228266667
1,21,18,497,0
1,21,19,498,0
1,21,20,499,0
1,21,21,500,0
1,21,22,501,0
1,21,23,502,0
1,21,24,503,0
1,22,1,504,0
1,22,2,505,0
1,22,3,506,0
1,22,4,507,0
1,22,5,508,0
1,22,6,509,0
1,22,7,510,0
1,22,8,511,0
1,22,9,512,0
1,22,10,513,0
1,22,11,514,0
1,22,12,515,0
1,22,13,516,0
1,22,14,517,0
1,22,15,518,0
1,22,16,519,0
1,22,17,520,0
1,22,18,521,0
1,22,19,522,0
1,22,20,523,0
1,22,21,524,0
1,22,22,525,0
1,22,23,526,0
1,22,24,527,0
1,23,1,528,0
1,23,2,529,0
1,23,3,530,0
1,23,4,531,0
1,23,5,532,0
1,23,6,533,16299.3256871111
1,23,7,534,73783.8760044445
1,23,8,535,130205.633244444
1,23,9,536,53613.8429244445
1,23,10,537,25291.3335182222
1,23,11,538,3083.31323866667
1,23,12,539,6512.62623111111
1,23,13,540,-7082.03409288889
1,23,14,541,-29622.4556266667
1,23,15,542,-38657.8379822222
1,23,16,543,-42871.9074888889
1,23,17,544,-34973.0549022222
1,23,18,545,-13752.5084244444
1,23,19,546,2313.63816382222
1,23,20,547,7828.45690577778
1,23,21,548,26505.5564386667
1,23,22,549,39588.9249022222
1,23,23,550,0
1,23,24,551,0
1,24,1,552,0
1,24,2,553,0
1,24,3,554,0
1,24,4,555,0
1,24,5,556,0
1,24,6,557,0
1,24,7,558,41745.0490666667
1,24,8,559,100216.252586667
1,24,9,560,33500.9587111111
1,24,10,561,9357.43819955556
1,24,11,562,4123.83291155556
1,24,12,563,-13011.741884
1,24,13,564,-16365.8235222222
1,24,14,565,-36592.5658622222
1,24,15,566,-10110.3964982222
1,24,16,567,-7845.51364444444
1,24,17,568,-8836.97321333333
1,24,18,569,-15038.9440666667
1,24,19,570,0
1,24,20,571,-1800.7959572
1,24,21,572,11574.1694697778
1,24,22,573,19879.8047586667
1,24,23,574,0
1,24,24,575,0
1,25,1,576,0
1,25,2,577,0
1,25,3,578,0
1,25,4,579,0
1,25,5,580,0
1,25,6,581,0
1,25,7,582,0
1,25,8,583,61513.5747244444
1,25,9,584,40284.9687911111
1,25,10,585,23324.0057635556
1,25,11,586,14658.8601426667
1,25,12,587,-3981.13658755556
1,25,13,588,3209.30450933333
1,25,14,589,-19331.1170244444
1,25,15,590,-32549.0637422222
1,25,16,591,-37182.2249377778
1,25,17,592,-28859.5329102222
1,25,18,593,7429.93880888889
1,25,19,594,3220.55844
1,25,20,595,23090.1057097778
1,25,21,596,38415.4681733333
1,25,22,597,47490.4151288889
1,25,23,598,0
1,25,24,599,0
1,26,1,600,0
1,26,2,601,0
1,26,3,602,0
1,26,4,603,0
1,26,5,604,0
1,26,6,605,0
1,26,7,606,72077.0298533333
1,26,8,607,133462.239431111
1,26,9,608,63956.0293644445
1,26,10,609,43974.73408
1,26,11,610,22637.6918355556
1,26,12,611,6478.835132
1,26,13,612,13707.0530951111
1,26,14,613,-2686.62976693333
1,26,15,614,-29735.5810755556
1,26,16,615,-35753.2102
1,26,17,616,-30325.8262933333
1,26,18,617,13258.7129093333
1,26,19,618,36070.3131422222
1,26,20,619,46987.7981733333
1,26,21,620,60952.0504755556
1,26,22,621,71662.9203733333
1,26,23,622,0
1,26,24,623,0
1,27,1,624,0
1,27,2,625,0
1,27,3,626,0
1,27,4,627,0
1,27,5,628,0
1,27,6,629,20551.8168164444
1,27,7,630,93398.5393288889
1,27,8,631,148270.829604444
1,27,9,632,77011.4681511111
1,27,10,633,52111.5604088889
1,27,11,634,25851.0993404444
1,27,12,635,9133.41464222222
1,27,13,636,13904.7295595556
1,27,14,637,-20776.2799804444
1,27,15,638,-34751.7862133333
1,27,16,639,-35649.4630266667
1,27,17,640,-23262.4315231111
1,27,18,641,340.422610533333
1,27,19,642,27692.5530528889
1,27,20,643,37877.6826844444
1,27,21,644,53375.5761111111
1,27,22,645,64355.1922177778
1,27,23,646,0
1,27,24,647,0
1,28,1,648,0
1,28,2,649,0
1,28,3,650,0
1,28,4,651,0
1,28,5,652,0
1,28,6,653,10209.6303764444
1,28,7,654,80581.3673555556
1,28,8,655,134642.729866667
1,28,9,656,100967.686915556
1,28,10,657,67513.03344
1,28,11,658,37703.3053733333
1,28,12,659,23547.3552573333
